Legislation Number,Title,Sponsor,Date of Introduction
H.R. 6617,Further Additional Extending Government Funding Act,"DeLauro, Rosa L. [Rep.-D-CT-3]",02/07/2022
H.R. 6256,"To ensure that goods made with forced labor in the Xinjiang Uyghur Autonomous Region of the People’s Republic of China do not enter the United States market, and for other purposes.","McGovern, James P. [Rep.-D-MA-2]",12/14/2021
H.R. 6119,"Further Extending Government Funding 
Act","DeLauro, Rosa L. [Rep.-D-CT-3]",12/02/2021
H.R. 6023,Multinational Species Conservation Funds Semipostal Stamp Reauthorization Act of 2021,"Costa, Jim [Rep.-D-CA-16]",11/18/2021
H.R. 5809,"To designate the facility of the United States Postal Service located at 1801 Town and Country Drive in Norco, California, as the ""Lance Corporal Kareem Nikoui Memorial Post Office Building"".","Calvert, Ken [Rep.-R-CA-42]",11/02/2021
H.R. 5763,Further Surface Transportation Extension Act of 2021,"DeFazio, Peter A. [Rep.-D-OR-4]",10/28/2021
H.R. 5754,Patient Advocate Tracker Act,"McClain, Lisa C. [Rep.-R-MI-10]",10/27/2021
H.R. 5681,Shadow Wolves Enhancement Act,"Katko, John [Rep.-R-NY-24]",10/22/2021
H.R. 5641,SPEED Recovery Act,"Graves, Sam [Rep.-R-MO-6]",10/20/2021
H.R. 5577,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the ""John R. Lewis Post Office Building"".","Williams, Nikema [Rep.-D-GA-5]",10/12/2021
H.R. 5545,REMOTE Act,"Trone, David J. [Rep.-D-MD-6]",10/08/2021
H.R. 5434,"Surface Transportation Extension Act 
of 2021","DeFazio, Peter A. [Rep.-D-OR-4]",09/30/2021
H.R. 5376,Inflation Reduction Act of 2022,"Yarmuth, John A. [Rep.-D-KY-3]",09/27/2021
H.R. 5313,Reese's Law,"Kelly, Robin L. [Rep.-D-IL-2]",09/21/2021
H.R. 5305,Extending Government Funding and Delivering Emergency Assistance Act,"DeLauro, Rosa L. [Rep.-D-CT-3]",09/21/2021
H.R. 5293,Department of Veterans Affairs Expiring Authorities Act of 2021,"Mrvan, Frank J. [Rep.-D-IN-1]",09/20/2021
H.R. 5142,"To award posthumously a Congressional Gold Medal, in commemoration to the servicemembers who perished in Afghanistan on August 26, 2021, during the evacuation of citizens of the United States and Afghan allies at Hamid Karzai International Airport, and for other purposes.","McClain, Lisa C. [Rep.-R-MI-10]",08/31/2021
H.R. 5085,Emergency Repatriation Assistance for Returning Americans Act,"Neal, Richard E. [Rep.-D-MA-1]",08/24/2021
H.R. 4981,"To amend the Fentanyl Sanctions Act, to modify certain deadlines relating to the Commission on Combating Synthetic Opioid Trafficking.","Trone, David J. [Rep.-D-MD-6]",08/06/2021
H.R. 4877,One Stop Shop for Small Business Compliance Act of 2021,"Delgado, Antonio [Rep.-D-NY-19]",07/30/2021
H.R. 4693,Global Malnutrition Prevention and Treatment Act of 2021,"McCaul, Michael T. [Rep.-R-TX-10]",07/26/2021
H.R. 4660,"To designate the Federal Building and United States Courthouse located at 1125 Chapline Street in Wheeling, West Virginia, as the Frederick P. Stamp, Jr. Federal Building and United States Courthouse.","McKinley, David B. [Rep.-R-WV-1]",07/22/2021
H.R. 4591,VA Electronic Health Record Transparency Act of 2021,"Mrvan, Frank J. [Rep.-D-IN-1]",07/21/2021
H.R. 4445,Ending Forced Arbitration of Sexual Assault and Sexual Harassment Act of 2021,"Bustos, Cheri [Rep.-D-IL-17]",07/16/2021
H.R. 4426,Homeland Security for Children Act,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",07/13/2021
H.R. 4346,Supreme Court Security Funding Act of 2022,"Ryan, Tim [Rep.-D-OH-13]",07/01/2021
H.R. 4172,"To name the Department of Veterans Affairs community-based outpatient clinic in Aurora, Colorado, as the Lieutenant Colonel John W. Mosley VA Clinic.","Crow, Jason [Rep.-D-CO-6]",06/25/2021
H.R. 4168,"To designate the facility of the United States Postal Service located at 6223 Maple Street, in Omaha, Nebraska, as the ""Petty Officer 1st Class Charles Jackson French Post Office"".","Bacon, Don [Rep.-R-NE-2]",06/25/2021
H.R. 3919,Secure Equipment Act of 2021,"Scalise, Steve [Rep.-R-LA-1]",06/15/2021
H.R. 3684,Infrastructure Investment and Jobs Act,"DeFazio, Peter A. [Rep.-D-OR-4]",06/04/2021
H.R. 3665,"To designate the medical center of the Department of Veterans Affairs in San Diego, California, as the Jennifer Moreno Department of Veterans Affairs Medical Center, and to support the designation of a component of such medical center in honor of Kathleen Bruyere.","Levin, Mike [Rep.-D-CA-49]",06/01/2021
H.R. 3642,Harlem Hellfighters Congressional Gold Medal Act,"Suozzi, Thomas R. [Rep.-D-NY-3]",05/28/2021
H.R. 3613,"To designate the facility of the United States Postal Service located at 202 Trumbull Street in Saint Clair, Michigan, as the ""Corporal Jeffrey Robert Standfest Post Office Building"".","McClain, Lisa C. [Rep.-R-MI-10]",05/28/2021
H.R. 3579,"To designate the facility of the United States Postal Service located at 200 East Main Street in Maroa, Illinois, as the ""Jeremy L. Ridlen Post Office"".","Davis, Rodney [Rep.-R-IL-13]",05/28/2021
H.R. 3539,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the ""Atanasio Taitano Perez Post Office"".","San Nicolas, Michael F. Q. [Del.-D-GU-At Large]",05/25/2021
H.R. 3537,Accelerating Access to Critical Therapies for ALS Act,"Quigley, Mike [Rep.-D-IL-5]",05/25/2021
H.R. 3525,Commission To Study the Potential Creation of a National Museum of Asian Pacific American History and Culture Act,"Meng, Grace [Rep.-D-NY-6]",05/25/2021
H.R. 3508,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the ""CW4 Christian J. Koch Memorial Post Office"".","Jacobs, Chris [Rep.-R-NY-27]",05/25/2021
H.R. 3475,"To name the Department of Veterans Affairs community-based outpatient clinic in Columbus, Georgia, as the Robert S. Poydasheff VA Clinic.","Bishop, Sanford D., Jr. [Rep.-D-GA-2]",05/25/2021
H.R. 3419,"To designate the facility of the United States Postal Service located at 66 Meserole Avenue in Brooklyn, New York, as the Joseph R. Lentol Post Office.","Maloney, Carolyn B. [Rep.-D-NY-12]",05/20/2021
H.R. 3359,Homicide Victims' Families' Rights Act of 2021,"Swalwell, Eric [Rep.-D-CA-15]",05/19/2021
H.R. 3325,"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.","Pelosi, Nancy [Rep.-D-CA-12]",05/19/2021
H.R. 3237,"Emergency Security Supplemental Appropriations Act, 2021","DeLauro, Rosa L. [Rep.-D-CT-3]",05/14/2021
H.R. 3210,"To designate the facility of the United States Postal Service located at 1905 15th Street in Boulder, Colorado, as the ""Officer Eric H. Talley Post Office Building"".","Neguse, Joe [Rep.-D-CO-2]",05/13/2021
H.R. 3197,Save the Liberty Theatre Act of 2021,"Johnson, Mike [Rep.-R-LA-4]",05/13/2021
H.R. 3182,Safe Sleep for Babies Act of 2021,"Cárdenas, Tony [Rep.-D-CA-29]",05/13/2021
H.R. 3113,Modernizing Access to Our Public Land Act,"Moore, Blake D. [Rep.-R-UT-1]",05/11/2021
H.R. 3076,Postal Service Reform Act of 2022,"Maloney, Carolyn B. [Rep.-D-NY-12]",05/11/2021
H.R. 2992,TBI and PTSD Law Enforcement Training Act,"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",05/04/2021
H.R. 2911,VA Transparency & Trust Act of 2021,"Bost, Mike [Rep.-R-IL-12]",04/30/2021
H.R. 2630,Extending Temporary Emergency Scheduling of Fentanyl Analogues Act,"Pappas, Chris [Rep.-D-NH-1]",04/16/2021
H.R. 2545,"To amend title 38, United States Code, to clarify the role of doctors of podiatric medicine in the Department of Veterans Affairs, and for other purposes.","Wenstrup, Brad R. [Rep.-R-OH-2]",04/14/2021
H.R. 2523,THRIVE Act,"Levin, Mike [Rep.-D-CA-49]",04/14/2021
H.R. 2497,Amache National Historic Site Act,"Neguse, Joe [Rep.-D-CO-2]",04/14/2021
H.R. 2471,"Consolidated Appropriations Act, 2022","Jeffries, Hakeem S. [Rep.-D-NY-8]",04/13/2021
H.R. 2441,Sgt. Ketchum Rural Veterans Mental Health Act of 2021,"Axne, Cynthia [Rep.-D-IA-3]",04/12/2021
H.R. 2324,"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the ""D. Edwina Stephens Post Office"".","Lawson, Al, Jr. [Rep.-D-FL-5]",04/01/2021
H.R. 2278,"To designate the September 11th National Memorial Trail Route, and for other purposes.","Connolly, Gerald E. [Rep.-D-VA-11]",03/29/2021
H.R. 2142,"To designate the facility of the United States Postal Service located at 170 Manhattan Avenue in Buffalo, New York, as the ""Indiana Hunt-Martin Post Office Building"".","Higgins, Brian [Rep.-D-NY-26]",03/23/2021
H.R. 2093,Veterans and Family Information Act,"Jeffries, Hakeem S. [Rep.-D-NY-8]",03/19/2021
H.R. 2044,"To designate the facility of the United States Postal Service located at 17 East Main Street in Herington, Kansas, as the Captain Emil J. Kapaun Post Office Building.","Mann, Tracey [Rep.-R-KS-1]",03/18/2021
H.R. 1899,Ensuring Compliance Against Drug Diversion Act of 2021,"Griffith, H. Morgan [Rep.-R-VA-9]",03/16/2021
H.R. 1868,"To prevent across-the-board direct spending cuts, and for other purposes.","Yarmuth, John A. [Rep.-D-KY-3]",03/12/2021
H.R. 1842,Harriet Tubman Bicentennial Commemorative Coin Act,"Meeks, Gregory W. [Rep.-D-NY-5]",03/11/2021
H.R. 1799,PPP Extension Act of 2021,"Bourdeaux, Carolyn [Rep.-D-GA-7]",03/11/2021
H.R. 1766,FTC Collaboration Act of 2021,"O'Halleran, Tom [Rep.-D-AZ-1]",03/10/2021
H.R. 1667,Dr. Lorna Breen Health Care Provider Protection Act,"Wild, Susan [Rep.-D-PA-7]",03/08/2021
H.R. 1664,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Veasey, Marc A. [Rep.-D-TX-33]",03/08/2021
H.R. 1652,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,"Nadler, Jerrold [Rep.-D-NY-10]",03/08/2021
H.R. 1651,COVID-19 Bankruptcy Relief Extension Act of 2021,"Nadler, Jerrold [Rep.-D-NY-10]",03/08/2021
H.R. 1510,To direct the Secretary of Veterans Affairs to submit to Congress a report on the use of cameras in medical facilities of the Department of Veterans Affairs.,"McKinley, David B. [Rep.-R-WV-1]",03/02/2021
H.R. 1448,PAWS for Veterans Therapy Act,"Stivers, Steve [Rep.-R-OH-15]",03/01/2021
H.R. 1444,"To designate the facility of the United States Postal Service located at 132 North Loudoun Street, Suite 1 in Winchester, Virginia, as the Patsy Cline Post Office.","Wexton, Jennifer [Rep.-D-VA-10]",02/26/2021
H.R. 1319,American Rescue Plan Act of 2021,"Yarmuth, John A. [Rep.-D-KY-3]",02/24/2021
H.R. 1318,Alaska Tourism Restoration Act,"Young, Don [Rep.-R-AK-At Large]",02/24/2021
H.R. 1298,"To designate the facility of the United States Postal Service located at 1233 North Cedar Street in Owasso, Oklahoma, as the ""Technical Sergeant Marshal Roberts Post Office Building"".","Hern, Kevin [Rep.-R-OK-1]",02/24/2021
H.R. 1281,"To name the Department of Veterans Affairs community-based outpatient clinic in Gaylord, Michigan, as the Navy Corpsman Steve Andrews Department of Veterans Affairs Health Care Clinic.","Bergman, Jack [Rep.-R-MI-1]",02/24/2021
H.R. 1276,Strengthening and Amplifying Vaccination Efforts to Locally Immunize All Veterans and Every Spouse Act,"Takano, Mark [Rep.-D-CA-41]",02/24/2021
H.R. 1192,Puerto Rico Recovery Accuracy in Disclosures Act of 2021,"Velazquez, Nydia M. [Rep.-D-NY-7]",02/22/2021
H.R. 1170,"To designate the facility of the United States Postal Service located at 1 League in Irvine, California, as the ""Tuskegee Airman Lieutenant Colonel Robert J. Friend Memorial Post Office Building"".","Porter, Katie [Rep.-D-CA-45]",02/18/2021
H.R. 1057,Greatest Generation Commemorative Coin Act,"Kaptur, Marcy [Rep.-D-OH-9]",02/15/2021
H.R. 1002,DEBAR Act of 2021,"Latta, Robert E. [Rep.-R-OH-5]",02/11/2021
H.R. 960,"To designate the facility of the United States Postal Service located at 3493 Burnet Avenue in Cincinnati, Ohio, as the John H. Leahr and Herbert M. Heilbrun Post Office.","Wenstrup, Brad R. [Rep.-R-OH-2]",02/08/2021
H.R. 941,TRANSPLANT Act of 2021,"Matsui, Doris O. [Rep.-D-CA-6]",02/08/2021
H.R. 772,"To designate the facility of the United States Postal Service located at 229 Minnetonka Avenue South in Wayzata, Minnesota, as the Jim Ramstad Post Office.","Phillips, Dean [Rep.-D-MN-3]",02/03/2021
H.R. 767,"To designate the facility of the United States Postal Service located at 40 Fulton Street in Middletown, New York, as the ""Benjamin A. Gilman Post Office Building"".","Maloney, Sean Patrick [Rep.-D-NY-18]",02/03/2021
H.R. 735,"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the ""Arturo L. Ibleto Post Office Building"".","Thompson, Mike [Rep.-D-CA-5]",02/02/2021
H.R. 711,West Los Angeles VA Campus Improvement Act of 2021,"Lieu, Ted [Rep.-D-CA-33]",02/02/2021
H.R. 468,Expedited Delivery of Airport Infrastructure Act of 2021,"Graves, Sam [Rep.-R-MO-6]",01/25/2021
H.R. 390,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the ""Odell Horton Federal Building"".","Cohen, Steve [Rep.-D-TN-9]",01/21/2021
H.R. 335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"Smith, Adam [Rep.-D-WA-9]",01/15/2021
H.R. 264,"To designate the facility of the United States Postal Service located at 1101 Charlotte Street in Georgetown, South Carolina, as the ""Joseph Hayne Rainey Memorial Post Office Building"".","Rice, Tom [Rep.-R-SC-7]",01/11/2021
H.R. 208,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.","Kelly, Trent [Rep.-R-MS-1]",01/05/2021
H.R. 189,John Lewis NIMHD Research Endowment Revitalization Act of 2021,"Barragan, Nanette Diaz [Rep.-D-CA-44]",01/05/2021
H.R. 92,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the ""Specialist Four Charles Johnson Post Office"".","Duncan, Jeff [Rep.-R-SC-3]",01/04/2021
H.R. 91,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the ""Private First Class Barrett Lyle Austin Post Office Building"".","Duncan, Jeff [Rep.-R-SC-3]",01/04/2021
H.R. 55,Emmett Till Antilynching Act,"Rush, Bobby L. [Rep.-D-IL-1]",01/04/2021
H.R. 49,"To designate the National Pulse Memorial located at 1912 South Orange Avenue, Orlando, Florida, 32806, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",01/04/2021
H.R. 26,Construction Consensus Procurement Improvement Act of 2021,"Comer, James [Rep.-R-KY-1]",01/04/2021
H.J.Res. 75,"Extension of Continuing Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",03/08/2022
H.J.Res. 27,Providing for the appointment of Barbara Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Matsui, Doris O. [Rep.-D-CA-6]",02/25/2021
S. 4900,SBIR and STTR Extension Act of 2022,"Cardin, Benjamin L. [Sen.-D-MD]",09/20/2022
S. 4791,"A bill to amend section 301 of title 44, United States Code, to establish a term for the appointment of the Director of the Government Publishing Office.","Blunt, Roy [Sen.-R-MO]",09/06/2022
S. 4785,A bill to extend by 19 days the authorization for the special assessment for the Domestic Trafficking Victims' Fund.,"Klobuchar, Amy [Sen.-D-MN]",08/06/2022
S. 4458,Ensuring the Best Schools for Veterans Act of 2022,"Tester, Jon [Sen.-D-MT]",06/23/2022
S. 4205,PAW Act,"Peters, Gary C. [Sen.-D-MI]",05/12/2022
S. 4160,Supreme Court Police Parity Act of 2022,"Cornyn, John [Sen.-R-TX]",05/05/2022
S. 4119,RECA Extension Act of 2022,"Lee, Mike [Sen.-R-UT]",04/28/2022
S. 4089,Veterans Rapid Retraining Assistance Program Restoration and Recovery Act of 2022,"Durbin, Richard J. [Sen.-D-IL]",04/26/2022
S. 3969,Protection and Advocacy for Voting Access Program Inclusion Act,"Lujan, Ben Ray [Sen.-D-NM]",03/30/2022
S. 3895,United States Commission on International Religious Freedom Reauthorization Act of 2022.,"Rubio, Marco [Sen.-R-FL]",03/22/2022
S. 3823,Bankruptcy Threshold Adjustment and Technical Corrections Act,"Grassley, Chuck [Sen.-R-IA]",03/14/2022
S. 3706,A bill to provide for the application of certain provisions of the Secure Rural Schools and Community Self-Determination Act of 2000 for fiscal year 2021.,"Crapo, Mike [Sen.-R-ID]",02/17/2022
S. 3580,Ocean Shipping Reform Act of 2022,"Klobuchar, Amy [Sen.-D-MN]",02/03/2022
S. 3527,"A bill to amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to transfer the name of property of the Department of Veterans Affairs designated by law to other property of the Department.","Tester, Jon [Sen.-D-MT]",01/19/2022
S. 3522,Ukraine Democracy Defense Lend-Lease Act of 2022,"Cornyn, John [Sen.-R-TX]",01/19/2022
S. 3470,End Human Trafficking in Government Contracts Act of 2022,"Lankford, James [Sen.-R-OK]",01/11/2022
S. 3451,"A bill to include certain computer-related projects in the Federal permitting program under title XLI of the FAST Act, and for other purposes.","Hagerty, Bill [Sen.-R-TN]",01/10/2022
S. 3377,Capitol Police Emergency Assistance Act of 2021,"Klobuchar, Amy [Sen.-D-MN]",12/13/2021
S. 3373,Honoring our PACT Act of 2022,"Kaine, Tim [Sen.-D-VA]",12/09/2021
S. 3294,A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.,"Klobuchar, Amy [Sen.-D-MN]",12/01/2021
S. 3157,Bridging the Gap for New Americans Act,"Klobuchar, Amy [Sen.-D-MN]",11/03/2021
S. 3103,Eliminating Limits to Justice for Child Sex Abuse Victims Act of 2022,"Durbin, Richard J. [Sen.-D-IL]",10/28/2021
S. 3059,Courthouse Ethics and Transparency Act,"Cornyn, John [Sen.-R-TX]",10/25/2021
S. 2959,Supplemental Impact Aid Flexibility Act,"Thune, John [Sen.-R-SD]",10/07/2021
S. 2938,Bipartisan Safer Communities Act,"Rubio, Marco [Sen.-R-FL]",10/05/2021
S. 2794,Supporting Families of the Fallen Act,"Tuberville, Tommy [Sen.-R-AL]",09/22/2021
S. 2771,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".","Cornyn, John [Sen.-R-TX]",09/21/2021
S. 2687,Strengthening Oversight for Veterans Act of 2021,"Tester, Jon [Sen.-D-MT]",08/10/2021
S. 2629,Better Cybercrime Metrics Act,"Schatz, Brian [Sen.-D-HI]",08/05/2021
S. 2551,AI Training Act,"Peters, Gary C. [Sen.-D-MI]",07/29/2021
S. 2533,Making Advances in Mammography and Medical Options for Veterans Act,"Tester, Jon [Sen.-D-MT]",07/29/2021
S. 2520,State and Local Government Cybersecurity Act of 2021,"Peters, Gary C. [Sen.-D-MI]",07/28/2021
S. 2514,"A bill to rename the Provo Veterans Center in Orem, Utah, as the ""Col. Gail S. Halvorsen 'Candy Bomber' Veterans Center"".","Lee, Mike [Sen.-R-UT]",07/28/2021
S. 2490,Blackwell School National Historic Site Act,"Cornyn, John [Sen.-R-TX]",07/27/2021
S. 2293,CREW Act,"Peters, Gary C. [Sen.-D-MI]",06/24/2021
S. 2201,Supply Chain Security Training Act of 2021,"Peters, Gary C. [Sen.-D-MI]",06/23/2021
S. 2126,"A bill to designate the Federal Office Building located at 308 W. 21st Street in Cheyenne, Wyoming, as the ""Louisa Swain Federal Office Building"", and for other purposes.","Lummis, Cynthia M. [Sen.-R-WY]",06/17/2021
S. 2102,Dr. Kate Hendricks Thomas SERVICE Act,"Boozman, John [Sen.-R-AR]",06/17/2021
S. 2089,Keep Kids Fed Act of 2022,"Shaheen, Jeanne [Sen.-D-NH]",06/16/2021
S. 1917,K-12 Cybersecurity Act of 2021,"Peters, Gary C. [Sen.-D-MI]",05/27/2021
S. 1910,Major Medical Facility Authorization Act of 2021,"Tester, Jon [Sen.-D-MT]",05/27/2021
S. 1872,United States Army Rangers Veterans of World War II Congressional Gold Medal Act,"Ernst, Joni [Sen.-R-IA]",05/27/2021
S. 1828,Helping American Victims Afflicted by Neurological Attacks Act of 2021,"Collins, Susan M. [Sen.-R-ME]",05/25/2021
S. 1760,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs planned to be built in Oahu, Hawaii, as the ""Daniel Kahikina Akaka Department of Veterans Affairs Community-Based Outpatient Clinic"".","Hirono, Mazie K. [Sen.-D-HI]",05/20/2021
S. 1662,Supporting the Foundation for the National Institutes of Health and the Reagan-Udall Foundation for the Food and Drug Administration Act,"Lujan, Ben Ray [Sen.-D-NM]",05/17/2021
S. 1605,National Defense Authorization Act for Fiscal Year 2022,"Scott, Rick [Sen.-R-FL]",05/13/2021
S. 1543,STANDUP Act of 2021,"Hassan, Margaret Wood [Sen.-D-NH]",05/10/2021
S. 1511,Protecting America's First Responders Act of 2021,"Grassley, Chuck [Sen.-R-IA]",04/29/2021
S. 1502,COPS Counseling Act,"Cortez Masto, Catherine [Sen.-D-NV]",04/29/2021
S. 1404,Ghost Army Congressional Gold Medal Act,"Markey, Edward J. [Sen.-D-MA]",04/28/2021
S. 1340,"A bill to amend title 28, United States Code, to redefine the eastern and middle judicial districts of North Carolina.","Tillis, Thomas [Sen.-R-NC]",04/22/2021
S. 1301,Promoting Physical Activity for Americans Act,"Brown, Sherrod [Sen.-D-OH]",04/22/2021
S. 1226,"A bill to designate the United States courthouse located at 1501 North 6th Street in Harrisburg, Pennsylvania, as the ""Sylvia H. Rambo United States Courthouse"", and for other purposes.","Casey, Robert P., Jr. [Sen.-D-PA]",04/20/2021
S. 1198,Solid Start Act of 2022,"Hassan, Margaret Wood [Sen.-D-NH]",04/15/2021
S. 1098,Joint Consolidation Loan Separation Act,"Warner, Mark R. [Sen.-D-VA]",04/13/2021
S. 1097,Federal Rotational Cyber Workforce Program Act of 2021,"Peters, Gary C. [Sen.-D-MI]",04/13/2021
S. 1095,Colonel John M. McHugh Tuition Fairness for Survivors Act of 2021,"Moran, Jerry [Sen.-R-KS]",04/13/2021
S. 1064,RENACER Act,"Menendez, Robert [Sen.-D-NJ]",03/25/2021
S. 1031,"A bill to require the Comptroller General of the United States to conduct a study on disparities associated with race and ethnicity with respect to certain benefits administered by the Secretary of Veterans Affairs, and for other purposes.","Warnock, Raphael G. [Sen.-D-GA]",03/25/2021
S. 958,Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act,"Rosen, Jacky [Sen.-D-NV]",03/24/2021
S. 957,DUMP Opioids Act,"Kennedy, John [Sen.-R-LA]",03/24/2021
S. 937,COVID-19 Hate Crimes Act,"Hirono, Mazie K. [Sen.-D-HI]",03/23/2021
S. 921,Jaime Zapata and Victor Avila Federal Officers and Employees Protection Act,"Cornyn, John [Sen.-R-TX]",03/23/2021
S. 894,Hire Veteran Health Heroes Act of 2021,"Braun, Mike [Sen.-R-IN]",03/23/2021
S. 854,Methamphetamine Response Act of 2021,"Feinstein, Dianne [Sen.-D-CA]",03/18/2021
S. 848,Consider Teachers Act of 2021,"Braun, Mike [Sen.-R-IN]",03/18/2021
S. 812,"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.","Menendez, Robert [Sen.-D-NJ]",03/17/2021
S. 796,Protecting Moms Who Served Act of 2021,"Duckworth, Tammy [Sen.-D-IL]",03/17/2021
S. 658,National Cybersecurity Preparedness Consortium Act of 2021,"Cornyn, John [Sen.-R-TX]",03/10/2021
S. 610,Protecting Medicare and American Farmers from Sequester Cuts Act,"Kaine, Tim [Sen.-D-VA]",03/04/2021
S. 583,PRICE Act of 2021,"Peters, Gary C. [Sen.-D-MI]",03/03/2021
S. 579,A bill to make a technical correction to the ALS Disability Insurance Access Act of 2019.,"Braun, Mike [Sen.-R-IN]",03/03/2021
S. 578,FASTER Act of 2021,"Scott, Tim [Sen.-R-SC]",03/03/2021
S. 566,"A bill to designate the facility of the United States Postal Service located at 42 Main Street in Slatersville, Rhode Island, as the ""Specialist Matthew R. Turcotte Post Office"".","Reed, Jack [Sen.-D-RI]",03/03/2021
S. 516,Advanced Air Mobility Coordination and Leadership Act,"Moran, Jerry [Sen.-R-KS]",03/01/2021
S. 497,American Fisheries Advisory Committee Act,"Sullivan, Dan [Sen.-R-AK]",03/01/2021
S. 475,Juneteenth National Independence Day Act,"Markey, Edward J. [Sen.-D-MA]",02/25/2021
S. 452,Willie O'Ree Congressional Gold Medal Act,"Stabenow, Debbie [Sen.-D-MI]",02/25/2021
S. 442,BRIGHT Act,"Peters, Gary C. [Sen.-D-MI]",02/25/2021
S. 422,Senate Shared Employee Act,"Klobuchar, Amy [Sen.-D-MN]",02/24/2021
S. 415,"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the scope of new chemical exclusivity.","Cassidy, Bill [Sen.-R-LA]",02/24/2021
S. 409,"A bill to provide for the availability of amounts for customer education initiatives and non-awards expenses of the Commodity Futures Trading Commission Whistleblower Program, and for other purposes.","Grassley, Chuck [Sen.-R-IA]",02/24/2021
S. 400,"William T. Coleman, Jr. and Norman Y. Mineta Department of Transportation Headquarters Act","Wicker, Roger F. [Sen.-R-MS]",02/24/2021
